title,topic_name
Machine Learning or Predictive Models in IoT - Energy Prediction Use Case,Recap
Machine Learning or Predictive Models in IoT - Energy Prediction Use Case,Model Data Preparation
Machine Learning or Predictive Models in IoT - Energy Prediction Use Case,Correlations Table
Machine Learning or Predictive Models in IoT - Energy Prediction Use Case,Feature Selection using Boruta
Machine Learning or Predictive Models in IoT - Energy Prediction Use Case,Adding Dummy Variables to model
Machine Learning or Predictive Models in IoT - Energy Prediction Use Case,Create Model using RFE control 
Machine Learning or Predictive Models in IoT - Energy Prediction Use Case,List chosen Features for prediction
Machine Learning or Predictive Models in IoT - Energy Prediction Use Case,Training the Model
Machine Learning or Predictive Models in IoT - Energy Prediction Use Case,Training the SVM and RF Model
Machine Learning or Predictive Models in IoT - Energy Prediction Use Case,Conclusion
Data Science Project - Instacart Market Basket Analysis,Problem Statement Overview
Data Science Project - Instacart Market Basket Analysis,Import Libraries
Data Science Project - Instacart Market Basket Analysis,Market Basket Analysis
Data Science Project - Instacart Market Basket Analysis,Transaction Set
Data Science Project - Instacart Market Basket Analysis,Association Rules
Data Science Project - Instacart Market Basket Analysis,Steps for creating Association Rules
Data Science Project - Instacart Market Basket Analysis,Read the Data Set files
Data Science Project - Instacart Market Basket Analysis,Explore the Data Set
Data Science Project - Instacart Market Basket Analysis,Which day receives most orders?
Data Science Project - Instacart Market Basket Analysis,Which department is purchased most?
Data Science Project - Instacart Market Basket Analysis,Exploratory Data Analysis
Data Science Project - Instacart Market Basket Analysis,Recoding the variables
Data Science Project - Instacart Market Basket Analysis,Graphs
Data Science Project - Instacart Market Basket Analysis,Prior Orders Placed 
Data Science Project - Instacart Market Basket Analysis,Number of Items ordered
Data Science Project - Instacart Market Basket Analysis,Association Rule Mining
Data Science Project - Instacart Market Basket Analysis,Apriori Algorithm
Data Science Project - Instacart Market Basket Analysis,Creating Association Rules 
Data Science Project - Instacart Market Basket Analysis,Product Recommendations
Data Science Project - Instacart Market Basket Analysis,Convert Rule to DataFrame
Data Science Project - Instacart Market Basket Analysis,Remove Redundant Rules
Data Science Project - Instacart Market Basket Analysis,Conclusion
Credit Card Anomaly Detection using Autoencoders,Introduction to Anomaly Detection
Credit Card Anomaly Detection using Autoencoders,"What, why, where anomaly detection?"
Credit Card Anomaly Detection using Autoencoders,Business Context
Credit Card Anomaly Detection using Autoencoders,Data importing and data understanding
Credit Card Anomaly Detection using Autoencoders,Data preprocessing and EDA
Credit Card Anomaly Detection using Autoencoders,EDA continued
Credit Card Anomaly Detection using Autoencoders,Data preparation for model building
Credit Card Anomaly Detection using Autoencoders,Understanding Neural Networks
Credit Card Anomaly Detection using Autoencoders,Understanding Deep Neural networks
Credit Card Anomaly Detection using Autoencoders,Understanding Autoencoders
Credit Card Anomaly Detection using Autoencoders,Applications of Autoencoders
Credit Card Anomaly Detection using Autoencoders,Understanding the Evaluation parameters
Credit Card Anomaly Detection using Autoencoders,Building supervised learning model using H2O part-1
Credit Card Anomaly Detection using Autoencoders,Building supervised learning model using H2O part-2
Credit Card Anomaly Detection using Autoencoders,Precision and recall curve
Credit Card Anomaly Detection using Autoencoders,Building unsupervised learning model using H2O
Credit Card Anomaly Detection using Autoencoders,Model evaluation using reconstructed MSE
Credit Card Anomaly Detection using Autoencoders,Different thresholds to improve specificity
Credit Card Anomaly Detection using Autoencoders,Conclusion
Credit Card Anomaly Detection using Autoencoders,Modular code overview
Predict Macro Economic Trends using Kaggle Financial Dataset,Introduction & Installation
Predict Macro Economic Trends using Kaggle Financial Dataset,Data Set Overview
Predict Macro Economic Trends using Kaggle Financial Dataset,Problem Statement
Predict Macro Economic Trends using Kaggle Financial Dataset,Data Analysis - Missing Values
Predict Macro Economic Trends using Kaggle Financial Dataset,Recap
Predict Macro Economic Trends using Kaggle Financial Dataset,Next Steps
Predict Macro Economic Trends using Kaggle Financial Dataset,Why MICE
Predict Macro Economic Trends using Kaggle Financial Dataset,Split Data Set into Train and Test
Predict Macro Economic Trends using Kaggle Financial Dataset,Linear Regression - Assumptions
Predict Macro Economic Trends using Kaggle Financial Dataset,Linear Regression - Model Creation
Predict Macro Economic Trends using Kaggle Financial Dataset,Robust Linear Regression
Predict Macro Economic Trends using Kaggle Financial Dataset,Ridge Regression
Predict Macro Economic Trends using Kaggle Financial Dataset,Extreme Gradient Boosting
Inventory Demand Forecasting using Machine Learning in R,Understanding business context and objective
Inventory Demand Forecasting using Machine Learning in R,The approach
Inventory Demand Forecasting using Machine Learning in R,Data importing and understanding the data
Inventory Demand Forecasting using Machine Learning in R,Data cleaning
Inventory Demand Forecasting using Machine Learning in R,EDA
Inventory Demand Forecasting using Machine Learning in R,Feature engineering
Inventory Demand Forecasting using Machine Learning in R,Significance of train test split
Inventory Demand Forecasting using Machine Learning in R,Understanding bagging and boosting
Inventory Demand Forecasting using Machine Learning in R,Understanding XGBoost
Inventory Demand Forecasting using Machine Learning in R,Evaluation parameters and their meaning
Inventory Demand Forecasting using Machine Learning in R,Building and tuning XGBoost model
Inventory Demand Forecasting using Machine Learning in R,Understanding GBM
Inventory Demand Forecasting using Machine Learning in R,Building GBM
Inventory Demand Forecasting using Machine Learning in R,Tuning GBM and understanding light GBM
Inventory Demand Forecasting using Machine Learning in R,Understanding SVM algorithm
Inventory Demand Forecasting using Machine Learning in R,Building SVM model
Inventory Demand Forecasting using Machine Learning in R,Model comparison and introduction to autoML
Inventory Demand Forecasting using Machine Learning in R,LSTM
Inventory Demand Forecasting using Machine Learning in R,Making production ready code
